Year,Predicted_Value
2007,89872897.91008282
2008,278418501.50090384
2009,266126722.97776175
2010,309043548.2240913
2011,320304557.27412987
2012,336457318.92185616
2013,342507960.4429672
2014,337858346.7331841
2015,311243014.7828517
2016,258782336.2419846
2017,207775475.97616506
2018,218973612.5752859
2019,193699131.15193105
2020,217722245.74939036
2021,207458984.789186
2022,220025567.1257174
2023,224132915.58359623
2024,227895879.64360213
2025,228526224.94380283
2026,228349040.56198597
2027,228526224.94380283
2028,228349040.5619905
2029,228526224.94380736
2030,228349040.56199503
2031,228526224.94380283
2032,228349040.5619905
2033,228526224.94380283
2034,228349040.5619905
2035,228526224.94380283
